TIMESTAMP;RECORD;Batt_Volt_Min;PTemp;S_HFlux_1_Avg;S_HFlux_2_Avg;S_HFlux_3_Avg;S_HFlux_1_Min;S_HFlux_2_Min;S_HFlux_3_Min;S_HFlux_1_Max;S_HFlux_2_Max;S_HFlux_3_Max;VWC_1_Avg;EC_1_Avg;TSoil_1_Avg;VWC_2_Avg;EC_2_Avg;TSoil_2_Avg;VWC_3_Avg;EC_3_Avg;TSoil_3_Avg;VWC_4_Avg;EC_4_Avg;TSoil_4_Avg;VWC_5_Avg;EC_5_Avg;TSoil_5_Avg;VWC_6_Avg;EC_6_Avg;TSoil_6_Avg;AirTC_Avg;AirTC_Min;AirTC_Max;RH;TdewC;SVP_kPa;VP_kPa;SR01Up_Avg;SR01Dn_Avg;IR01Up_Avg;IR01Dn_Avg;NR01TC_Avg;NR01TK_Avg;NetRs_Avg;NetRl_Avg;Albedo_Avg;UpTot_Avg;DnTot_Avg;NetTot_Avg;IR01UpCo_Avg;IR01DnCo_Avg;SR01Up_Min;SR01Dn_Min;IR01Up_Min;IR01Dn_Min;SR01Up_Max;SR01Dn_Max;IR01Up_Max;IR01Dn_Max;NR01heat_DC
TS;RN;;;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;Deg C;Deg C;Deg C;%;Deg C;kPa;kPa;W/m2;W/m2;W/m2;W/m2;Deg C;K;W/m2;W/m2;%;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;
;;Min;Smp;Avg;Avg;Avg;Min;Min;Min;Max;Max;Max;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Min;Max;Smp;Smp;Smp;Smp;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Min;Min;Min;Min;Max;Max;Max;Max;Avg
2016-05-10 09:00:00;53730;11.79;24.57;8.565975;10.88313;NAN;7.533482;8.601731;NAN;9.46409;13.38262;NAN;0.2431;0.018015;10.75927;0.1986;0.017375;11.32035;0.1921383;0.019535;11.81499;0.229505;0.019985;10.9283;0.22561;0.02016166;11.18186;0.2121616;0.02337166;11.71693;17.85969;17.35656;18.43592;42.58881;5.198509;2.075037;0.8837335;421.8639;63.24757;-73.39369;-0.008984299;20.61747;293.7675;358.6164;-73.38471;0.1483159;348.4702;63.23858;285.2316;348.8925;422.2772;293.3894;42.60211;-86.74763;-7.617046;866.6393;145.521;-64.53622;14.51883;0
2016-05-10 09:30:00;53731;11.81;25.76;10.71267;16.23187;NAN;9.507754;13.48022;NAN;11.78778;18.57512;NAN;0.2431;0.01799833;10.73685;0.198385;0.01733667;11.30568;0.1915983;0.01960167;12.0897;0.2294633;0.01997166;10.90035;0.2255017;0.02013167;11.20236;0.2121;0.02360833;11.99397;18.65983;18.12729;19.20333;40.24669;5.352313;2.219397;0.893234;449.9695;65.72939;-77.8243;0.3677307;21.75171;294.9017;384.2402;-78.19203;0.1448818;372.1452;66.09711;306.0481;351.0197;429.2118;331.0269;46.04169;-94.57607;-5.057132;837.2474;132.3478;-65.6417;12.49307;0
2016-05-10 10:00:00;53732;11.76;26.93;12.75724;21.30376;NAN;11.80952;18.59667;NAN;13.93585;23.35363;NAN;0.24294;0.01798666;10.71396;0.19825;0.01733667;11.29955;0.1912733;0.01968167;12.37309;0.2292517;0.01995;10.87564;0.2253;0.02013;11.23758;0.21192;0.02386167;12.30524;19.47862;18.96541;19.97712;39.60029;5.691006;2.309261;0.914474;536.4271;78.63663;-102.9032;2.229679;22.81415;295.9641;457.7905;-105.1329;0.1450225;433.5239;80.86631;352.6576;332.1474;437.2803;355.9398;48.02829;-109.9067;-4.163907;941.2928;149.0708;-94.83899;17.42793;0
2016-05-10 10:30:00;53733;11.8;28.43;15.14385;25.42702;NAN;13.9795;23.42952;NAN;16.48729;28.46725;NAN;0.2428117;0.017955;10.69635;0.1980383;0.01733667;11.30766;0.19107;0.01981833;12.66695;0.22925;0.01993333;10.85503;0.22501;0.02013167;11.28025;0.2115417;0.02407167;12.654;20.70835;20.00967;21.41617;34.98801;5.00744;2.492441;0.8720555;690.617;102.5713;-93.49832;11.64761;24.12495;297.2749;588.0457;-105.1459;0.1472318;597.1187;114.2189;482.8998;349.3166;454.4625;462.5191;62.43811;-106.1009;0.7731652;1081.632;168.8943;-82.05962;26.76411;0
2016-05-10 11:00:00;53734;11.81;29.15;18.15999;31.17012;NAN;16.54184;28.5865;NAN;19.55182;32.71448;NAN;0.2426233;0.01795333;10.68623;0.1977883;0.01733667;11.33546;0.1908167;0.01998833;13.05104;0.2289967;0.01989;10.84072;0.2247917;0.02013;11.3428;0.2112167;0.02453833;13.092;21.02432;20.56674;21.648;33.09097;4.74007;2.586637;0.8559431;641.8973;93.92435;-99.80652;8.170154;24.41607;297.566;547.973;-107.9767;0.1453343;542.0908;102.0945;439.9963;344.741;452.7177;465.0105;64.25724;-108.5621;-0.5352339;1052.243;160.1959;-85.7478;29.79356;0
2016-05-10 11:30:00;53735;11.78;30.16;20.60414;34.99886;NAN;19.58455;32.75742;NAN;21.81959;38.50342;NAN;0.2425783;0.01792;10.6708;0.1975167;0.01736;11.37677;0.1903217;0.02011666;13.44199;0.2289983;0.01987333;10.83052;0.224565;0.02012833;11.42239;0.2111216;0.02512833;13.51915;21.96001;21.17307;23.13662;32.8852;4.587016;2.575136;0.8468385;723.5756;103.9567;-93.81983;13.53961;25.97043;299.1204;619.619;-107.3595;0.1418456;629.7559;117.4964;512.2595;360.1092;467.4686;444.0234;61.25968;-105.6064;1.010883;1191.157;182.884;-81.41473;30.26931;0
2016-05-10 12:00:00;53736;11.8;29.65;23.05704;39.004;NAN;21.87414;38.01318;NAN;23.60565;39.47071;NAN;0.2423683;0.017915;10.66663;0.197235;0.01737833;11.43244;0.1899667;0.02022833;13.79473;0.2287333;0.01988333;10.83155;0.224325;0.02016667;11.5171;0.21063;0.02553167;13.97298;21.37821;20.86069;22.21661;31.26055;4.422522;2.677973;0.837149;543.9793;76.96848;-102.5467;4.635543;23.88359;297.0336;467.0109;-107.1822;0.1390527;441.4326;81.60402;359.8286;338.8382;446.0204;356.2387;46.13963;-115.8076;-5.529774;946.3797;143.6759;-86.52393;28.00368;0
2016-05-10 12:30:00;53737;11.79;30.22;23.4311;38.01953;NAN;23.28936;37.39875;NAN;23.59459;39.53596;NAN;0.24226;0.01788167;10.66753;0.1969783;0.01742;11.50953;0.1894717;0.020285;13.98981;0.2287;0.01987833;10.83949;0.2240717;0.02018333;11.62277;0.2100133;0.02558167;14.2441;22.1033;21.30685;23.23748;30.14654;3.381989;2.581044;0.7780955;680.2958;97.43069;-105.4458;13.53891;25.02616;298.1761;582.8651;-118.9847;0.1379179;574.85;110.9696;463.8804;342.7688;461.7535;254.5722;29.40024;-116.704;-8.1455;1107.661;165.6227;-86.83028;35.7326;0
2016-05-10 13:00:00;53738;11.81;29.68;23.75541;39.95654;NAN;23.28956;38.3688;NAN;24.48937;40.79733;NAN;0.242;0.01786;10.67132;0.1969433;0.01743;11.59174;0.188885;0.020335;14.25644;0.22849;0.01990333;10.8505;0.2238483;0.02019;11.73084;0.2098383;0.02599666;14.56865;21.76784;21.30308;22.35244;27.87854;2.712859;2.661889;0.7420958;532.7525;76.37524;-89.46852;4.723653;23.74261;296.8926;456.3773;-94.19218;0.1390964;443.284;81.09888;362.1851;351.0766;445.2688;253.0826;32.55706;-108.9035;-7.610387;976.6382;148.2632;-75.55547;27.9437;0
2016-05-10 13:30:00;53739;11.79;31.05;23.7389;40.1244;NAN;23.60521;37.94832;NAN;24.07469;43.96738;NAN;0.2419217;0.01786;10.68225;0.1967017;0.01747167;11.68027;0.1880233;0.02029167;14.49176;0.2284033;0.01990166;10.87195;0.2236;0.020265;11.82926;0.208825;0.02589667;14.79013;22.83016;22.15155;23.60743;26.65874;2.773917;2.795775;0.7453185;970.8604;141.5243;-95.39832;28.82076;25.94851;299.0985;829.3361;-124.2191;0.1451608;875.462;170.345;705.1169;358.3994;482.6185;482.0901;62.99408;-108.8508;12.01006;1116.562;164.5067;-88.14527;36.98127;0
