DATE_1;TIME_1;PTemp;Rain_mm_Tot;S_HFlux_1_Avg;S_HFlux_2_Avg;S_HFlux_3_Avg;S_HFlux_1_Min;S_HFlux_2_Min;S_HFlux_3_Min;S_HFlux_1_Max;S_HFlux_2_Max;S_HFlux_3_Max;VWC_1_Avg;EC_1_Avg;TSoil_1_Avg;VWC_2_Avg;EC_2_Avg;TSoil_2_Avg;VWC_3_Avg;EC_3_Avg;TSoil_3_Avg;VWC_4_Avg;EC_4_Avg;TSoil_4_Avg;VWC_5_Avg;EC_5_Avg;TSoil_5_Avg;VWC_6_Avg;EC_6_Avg;TSoil_6_Avg;AirTC_Avg;RH;SVP_kPa;VP_kPa;PAR_Den_Avg;PAR_Den_Min;PAR_Den_Max;PAR_Tot_Tot;SR01Up_Avg;SR01Dn_Avg;IR01Up_Avg;IR01Dn_Avg;NR01TC_Avg;NR01TK_Avg;NetRs_Avg;NetRl_Avg;Albedo_Avg;UpTot_Avg;DnTot_Avg;NetTot_Avg;IR01UpCo_Avg;IR01DnCo_Avg;SR01Up_Min;SR01Dn_Min;IR01Up_Min;IR01Dn_Min;SR01Up_Max;SR01Dn_Max;IR01Up_Max;IR01Dn_Max;NR01heat_DC
NA;NA;NA;mm;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;W/m^2;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;m^3/m^3;dS/m;deg C;Deg C;%;kPa;kPa;umol/s/m^2;umol/s/m^2;umol/s/m^2;mmol/m^2;W/m2;W/m2;W/m2;W/m2;Deg C;K;W/m2;W/m2;%;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;W/m2;NA
22.03.2013;23:30:00;-8.71;0;-3.561265;-23.73503;-2.222131;-3.568955;-23.75676;-2.229662;-3.557703;-23.6683;-2.218903;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-11.89078;51.61541;0.2201411;0.1136267;0.0757985;0.07579808;0.07579944;0.1364373;0;0.003773662;-74.96636;-9.98424;-10.54008;262.6099;-0.003773662;-64.98212;NAN;-74.96636;-9.980467;-64.98589;194.7006;259.6827;0;0;-78.63274;-11.19969;0;0.1358517;-72.6298;-9.306832;1
23.03.2013;NA;-8.8;0;-3.570133;-23.74492;-2.236488;-3.580233;-23.77971;-2.240438;-3.568955;-23.71302;-2.229662;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-12.08777;53.52419;0.2123883;0.1136791;0.07580069;0.07579944;0.07580134;0.1364413;0;0;-75.45314;-9.931949;-10.66475;262.4853;0;-65.52119;NAN;-75.45314;-9.931949;-65.52119;193.7021;259.2233;0;0;-77.10407;-10.72686;0;0;-73.57402;-9.254591;1
23.03.2013;0:30:00;-8.94;0;-3.581163;-23.82183;-2.253658;-3.591461;-23.8569;-2.261903;-3.569044;-23.77971;-2.240437;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-12.40563;54.82415;0.2074048;0.1137079;0.07453794;0;0.07580218;0.1341683;0;0;-66.76414;-8.737519;-10.93106;262.2189;0;-58.02662;NAN;-66.76414;-8.737519;-58.02662;201.3004;259.327;0;0;-73.86851;-9.570086;0;0;-62.45049;-7.887487;1
23.03.2013;1:00:00;-9.05;0;-3.592324;-23.71801;-2.269481;-3.602865;-23.79102;-2.283479;-3.580272;-23.68154;-2.261903;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-12.59863;55.4381;0.205551;0.1139536;0.06317052;0;0.07580672;0.113707;0;0;-63.96922;-7.931601;-11.13158;262.0184;0;-56.03761;NAN;-63.96922;-7.931601;-56.03761;203.2763;259.3139;0;0;-66.45586;-8.308191;0;0;-62.21608;-7.467273;1
23.03.2013;1:30:00;-9.14;0;-3.607796;-23.76704;-2.287641;-3.614196;-23.83754;-2.29429;-3.602878;-23.71524;-2.272767;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-12.64178;55.30173;0.2049358;0.113333;0.07328151;0;0.07580971;0.1319067;0;0;-64.09699;-7.706746;-11.27623;261.8737;0;-56.39025;NAN;-64.09699;-7.706746;-56.39025;202.5589;258.9491;0;0;-65.69242;-8.256161;0;0;-61.2205;-7.099475;1
23.03.2013;2:00:00;-9.14;0;-3.6271;-23.85526;-2.305748;-3.636631;-23.88196;-2.315768;-3.614204;-23.79375;-2.294295;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-12.72531;55.77906;0.2043223;0.113969;0.06949291;0;0.07581087;0.1250872;0;0;-54.37884;-6.72616;-11.3589;261.7911;0;-47.65268;NAN;-54.37884;-6.72616;-47.65268;211.9404;259.5931;0;0;-61.39722;-7.520226;0;0;-47.74096;-5.890026;1
23.03.2013;2:30:00;-9.1;0;-3.647827;-23.60793;-2.323098;-3.65902;-23.78271;-2.337216;-3.636631;-23.39632;-2.315768;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-12.8401;56.52914;0.2024919;0.114467;0.06191234;0;0.07581107;0.1114422;0;0;-46.71577;-5.752427;-11.35261;261.7974;0;-40.96334;NAN;-46.71577;-5.752427;-40.96334;219.6291;260.5924;0;0;-47.85881;-6.205565;0;0;-45.91617;-5.311553;1
23.03.2013;3:00:00;-9.12;0;-3.671329;-23.22021;-2.341504;-3.681399;-23.39632;-2.347937;-3.65902;-23.02092;-2.326495;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-13.07308;56.97237;0.1976849;0.1126258;0.07454755;0;0.07581107;0.1341856;0;0;-44.79185;-5.348368;-11.41072;261.7393;0;-39.44348;NAN;-44.79185;-5.348368;-39.44348;221.3167;260.7602;0;0;-47.85881;-5.942631;0;0;-41.61892;-4.5753;1
23.03.2013;3:30:00;-9.16;0;-3.690164;-22.95762;-2.354906;-3.703779;-23.00988;-2.36938;-3.681399;-22.93259;-2.347937;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-13.13388;55.64268;0.1964998;0.1093377;0.07581107;0.07581107;0.07581107;0.1364599;0;0;-38.61278;-4.378965;-11.66676;261.4832;0;-34.23381;NAN;-38.61278;-4.378965;-34.23381;226.456;260.6898;0;0;-41.32458;-4.838248;0;0;-37.08617;-3.891634;1
23.03.2013;4:00:00;-9.23;0;-3.696878;-22.94271;-2.367771;-3.703779;-22.96572;-2.380101;-3.692589;-22.92155;-2.358659;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;-13.28674;55.57449;0.1941492;0.1078974;0.07581107;0.07581107;0.07581107;0.1364599;0;0;-40.12566;-4.275538;-11.77489;261.3751;0;-35.85012;NAN;-40.12566;-4.275538;-35.85012;224.5049;260.355;0;0;-41.50119;-4.5753;0;0;-37.5571;-3.786455;1
