DateTime,ALBEDO_1_1_1,APAR_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,P_1_1_1,RH_1_1_1,SHF_1_1_1,SHF_1_1_2,SHF_1_1_3,SWC_1_1_1,SWC_1_1_2,SWC_1_1_3,SWC_1_1_4,SWC_1_1_5,SWC_1_1_6,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,TS_1_1_5,TS_1_1_6,time
yyyy-mm-dd HH:MM:SS,%,umol/m^2/s,W/m^2,W/m^2,W/m^2,umol/m^2/s,m,%,W/m^2,W/m^2,W/m^2,%,%,%,%,%,%,W/m^2,W/m^2,deg C,deg C,deg C,deg C,deg C,deg C,deg C,seconds since 1970-01-01 00:00:00.0
2023-06-10 03:00,--,0.00321829,-98.4321,-1.9357,-97.901,0.107276,0.0,60.645,--,-44.9847,42.6145,32.445,--,34.4998,41.9655,34.807700000000004,37.2958,0.0,1.40469,11.442000000000007,17.824000000000012,--,19.311000000000035,18.113,10.580000000000041,10.531000000000006,1686366000.0
2023-06-10 03:30,--,0.0177218,-98.0577,-1.87637,-97.6141,0.590726,0.0,62.4944,--,-45.1738,43.4798,32.378,--,34.479,41.973,34.7265,37.2578,0.0,1.43274,11.031000000000006,17.485000000000014,--,19.16300000000001,18.091000000000008,10.191000000000031,10.173000000000002,1686367800.0
2023-06-10 04:00,--,0.16075799999999998,-91.2278,-1.28197,-91.4167,5.3586,0.0,64.8378,--,-43.5588,42.2061,32.3123,--,34.445,41.9587,34.6462,37.2295,1.0019799999999999,2.47284,10.712000000000046,17.160000000000025,--,19.012000000000057,18.06400000000002,9.869000000000028,9.855999999999995,1686369600.0
2023-06-10 04:30,0.6290640000000001,0.710626,-93.7519,-0.8450620000000001,-87.7717,23.6875,0.0,66.9968,--,-43.9515,42.3073,32.2497,--,34.407700000000006,41.97430000000001,34.5618,37.191,14.1182,8.983139999999999,10.398000000000025,16.882000000000005,--,18.858000000000004,18.02800000000002,9.685000000000002,9.716000000000008,1686371400.0
2023-06-10 05:00,0.5413140000000001,2.0177,-92.9868,-1.04125,-67.9074,67.2568,0.0,68.0855,--,-38.4392,36.0125,32.1992,--,34.373000000000005,41.947,34.499,37.1515,51.5137,27.4756,10.245999999999981,16.640000000000043,--,18.701000000000022,17.99599999999998,9.753000000000043,9.762000000000057,1686373200.0
2023-06-10 05:30,0.45203000000000004,3.87325,-105.23899999999999,-1.26194,-56.3503,129.108,0.0,68.3975,--,-37.9185,35.9809,32.1502,--,34.349000000000004,41.947799999999994,34.4297,37.1258,86.3232,38.6968,10.202000000000055,16.42700000000002,--,18.549000000000035,17.956000000000017,9.886000000000024,9.850000000000023,1686375000.0
2023-06-10 06:00,0.364627,6.10837,-108.78299999999999,-0.283735,-25.7133,203.612,0.0,66.9852,--,-34.3541,31.1007,32.105500000000006,--,34.3122,41.9533,34.380500000000005,37.0865,131.084,48.2984,10.33400000000006,16.265000000000043,--,18.39500000000004,17.914000000000044,10.211000000000013,10.115999999999985,1686376800.0
2023-06-10 06:30,0.314657,8.585230000000001,-109.551,1.94304,12.1065,286.17400000000004,0.0,64.785,--,-31.1021,24.1212,32.0713,--,34.278000000000006,41.94,34.3412,37.0277,182.06599999999997,58.4659,10.691000000000031,16.174000000000035,--,18.240999999999985,17.864000000000033,10.860000000000014,10.569000000000017,1686378600.0
2023-06-10 07:00,0.294259,12.2503,-115.01700000000001,3.96878,65.5852,408.343,0.0,60.1308,--,-27.5862,9.18299,32.050700000000006,--,34.2422,41.9392,34.314,36.956500000000005,261.318,76.7471,11.555999999999983,16.11099999999999,--,18.096000000000004,17.81400000000002,13.06800000000004,11.562999999999988,1686380400.0
2023-06-10 07:30,0.268296,15.3684,-119.184,6.5589699999999995,113.992,512.28,0.0,55.8482,--,-23.3156,-74.8347,32.039699999999996,--,34.210499999999996,41.918299999999995,34.303200000000004,36.919200000000004,327.445,87.7103,12.321000000000026,16.225000000000023,--,17.95900000000006,17.76400000000001,15.506000000000029,12.576000000000022,1686382200.0
